datetime,layer,tp
1989-01-01,epi,50.84491341711689
1989-02-01,epi,36.98633836932464
1989-03-01,epi,38.6608644203871
1989-04-01,epi,35.541036065333984
1989-05-01,epi,37.762869113548106
1989-06-01,epi,28.723615296069656
1989-07-01,epi,26.135005640484284
1989-08-01,epi,23.16080424591019
1989-09-01,epi,27.896484809137007
1989-10-01,epi,28.71978541496264
1989-11-01,epi,33.30208953848238
1989-12-01,epi,34.03088575108584
1990-01-01,epi,47.47249689758302
1990-02-01,epi,49.873473856565894
1990-03-01,epi,52.85995386618447
1990-04-01,epi,46.986671489112105
1990-05-01,epi,29.509961709436737
1990-06-01,epi,30.921467445537807
1990-07-01,epi,33.3506855077712
1990-08-01,epi,31.372129608045114
1990-09-01,epi,30.07564689763511
1990-10-01,epi,32.73480807003756
1990-11-01,epi,31.982609315707915
1990-12-01,epi,35.85984980624512
1991-01-01,epi,40.596424379226576
1991-02-01,epi,43.47223481624946
1991-03-01,epi,55.86547438160291
1991-04-01,epi,49.83192057363868
1991-05-01,epi,24.489718408182096
1991-06-01,epi,36.673434743260685
1991-07-01,epi,93.7671289872092
1991-08-01,epi,38.232241927786056
1991-09-01,epi,30.161552243542957
1991-10-01,epi,46.88132606886865
1991-11-01,epi,32.61240294614061
1991-12-01,epi,109.14971413542389
1992-01-01,epi,142.23470803451596
1992-02-01,epi,71.93466379085159
1992-03-01,epi,75.63360566228326
1992-04-01,epi,38.73812176950128
1992-05-01,epi,23.697031153688098
1992-06-01,epi,37.47852692292084
1992-07-01,epi,49.036777203584045
1992-08-01,epi,23.761402698161813
1992-09-01,epi,31.228458251037306
1992-10-01,epi,19.996183368828508
1992-11-01,epi,24.04861911902192
1992-12-01,epi,27.647913997100083
1993-01-01,epi,62.34240083687353
1993-02-01,epi,40.28516212887633
1993-03-01,epi,61.80015320791617
1993-04-01,epi,57.86568175366339
1993-05-01,epi,27.764270706314274
1993-06-01,epi,19.719954673223917
1993-07-01,epi,26.949205437975
1993-08-01,epi,20.33692831107354
1993-09-01,epi,21.789238458304997
1993-10-01,epi,28.94211519214971
1993-11-01,epi,30.87637828723649
1993-12-01,epi,35.41282099662875
1994-01-01,epi,45.28697033616462
1994-02-01,epi,47.501630967172574
1994-03-01,epi,55.91607368530706
1994-04-01,epi,50.24930854664215
1994-05-01,epi,46.35470974643768
1994-06-01,epi,42.34593651725131
1994-07-01,epi,38.649841619929354
1994-08-01,epi,34.14632165149957
1994-09-01,epi,30.197675963550694
1994-10-01,epi,25.30056739259876
1994-11-01,epi,28.40402460197041
1994-12-01,epi,40.35868748102177
1995-01-01,epi,50.65317232219798
1995-02-01,epi,50.90332986156155
1995-03-01,epi,48.58669524712131
1995-04-01,epi,44.76325349625541
1995-05-01,epi,40.15293717129513
1995-06-01,epi,35.502625098599744
1995-07-01,epi,31.16572197017731
1995-08-01,epi,26.248122038696593
1995-09-01,epi,21.433743267560878
1995-10-01,epi,19.030252968594752
1995-11-01,epi,19.01073129205428
1995-12-01,epi,21.469962301869845
1996-01-01,epi,18.386050816495313
1996-02-01,epi,21.322383073441124
1996-03-01,epi,25.699142974303992
1996-04-01,epi,26.31842214785514
