datetime,depth,observation,variable,lake,unit
1989-01-10,0.0,11.4,do,Ravn,MilliGM-PER-L
1989-01-10,3.0,11.3,do,Ravn,MilliGM-PER-L
1989-01-10,5.0,11.3,do,Ravn,MilliGM-PER-L
1989-01-10,10.0,13.1,do,Ravn,MilliGM-PER-L
1989-01-10,15.0,13.8,do,Ravn,MilliGM-PER-L
1989-01-10,20.0,13.7,do,Ravn,MilliGM-PER-L
1989-01-10,25.0,13.6,do,Ravn,MilliGM-PER-L
1989-01-10,28.0,13.8,do,Ravn,MilliGM-PER-L
1989-02-08,28.0,12.1,do,Ravn,MilliGM-PER-L
1989-02-08,27.0,12.1,do,Ravn,MilliGM-PER-L
1989-02-08,20.0,12.2,do,Ravn,MilliGM-PER-L
1989-02-08,25.0,12.3,do,Ravn,MilliGM-PER-L
1989-02-08,10.0,12.2,do,Ravn,MilliGM-PER-L
1989-02-08,3.0,12.2,do,Ravn,MilliGM-PER-L
1989-02-08,1.0,12.2,do,Ravn,MilliGM-PER-L
1989-02-08,15.0,12.2,do,Ravn,MilliGM-PER-L
1989-03-08,0.0,11.7,do,Ravn,MilliGM-PER-L
1989-03-08,3.0,11.4,do,Ravn,MilliGM-PER-L
1989-03-08,5.0,11.5,do,Ravn,MilliGM-PER-L
1989-03-08,10.0,11.5,do,Ravn,MilliGM-PER-L
1989-03-08,15.0,11.4,do,Ravn,MilliGM-PER-L
1989-03-08,20.0,11.4,do,Ravn,MilliGM-PER-L
1989-03-08,25.0,11.4,do,Ravn,MilliGM-PER-L
1989-03-08,30.0,9.5,do,Ravn,MilliGM-PER-L
1989-04-11,20.0,13.2,do,Ravn,MilliGM-PER-L
1989-04-11,28.0,12.9,do,Ravn,MilliGM-PER-L
1989-04-11,25.0,12.9,do,Ravn,MilliGM-PER-L
1989-04-11,15.0,12.9,do,Ravn,MilliGM-PER-L
1989-04-11,4.0,13.3,do,Ravn,MilliGM-PER-L
1989-04-11,6.0,13.1,do,Ravn,MilliGM-PER-L
1989-04-11,3.0,13.4,do,Ravn,MilliGM-PER-L
1989-04-11,0.0,13.4,do,Ravn,MilliGM-PER-L
1989-04-11,10.0,13.2,do,Ravn,MilliGM-PER-L
1989-04-26,0.0,13.9,do,Ravn,MilliGM-PER-L
1989-04-26,28.0,12.6,do,Ravn,MilliGM-PER-L
1989-04-26,26.0,12.9,do,Ravn,MilliGM-PER-L
1989-04-26,15.0,13.1,do,Ravn,MilliGM-PER-L
1989-04-26,10.0,13.4,do,Ravn,MilliGM-PER-L
1989-04-26,20.0,13.0,do,Ravn,MilliGM-PER-L
1989-04-26,6.0,13.8,do,Ravn,MilliGM-PER-L
