ObservationsStedNr;ObservationsStedNavn;Startdato;Startklok;UndersøgelseNr;TekniskAnvisninganvendt;MålingNr;Parameter;Enhed;Resultat;ResultatAttribut;Kontrol;Kvalitet;Kvalitetsnote
"21000665";"Knud Å, Bens. Møllevad Bro";"19890110";"1200";"1";"True";"1";"Temperatur";"grader C";"4";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19890207";"1200";"1";"True";"1";"Temperatur";"grader C";"4,5";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19890308";"1200";"1";"True";"1";"Temperatur";"grader C";"4,6";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19890411";"1200";"1";"True";"1";"Temperatur";"grader C";"5,6";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19890426";"1200";"1";"True";"1";"Temperatur";"grader C";"7,4";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19890530";"1200";"1";"True";"1";"Temperatur";"grader C";"15,5";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19890614";"1200";"1";"True";"1";"Temperatur";"grader C";"20,6";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19890627";"1200";"1";"True";"1";"Temperatur";"grader C";"20,8";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19890712";"1200";"1";"True";"1";"Temperatur";"grader C";"19,5";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19890725";"1200";"1";"True";"1";"Temperatur";"grader C";"20";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"19890808";"1200";"1";"True";"1";"Temperatur";"grader C";"17,8";"=";"D, FDC faglig kontrol";"Godkendt";""
