var,Description,Units,Lake1
km,Background eddy diffusivity,m2 s−1,1.40E-07
k0,Adjustable eddy diffusivity,m2 s−1,0.01
weight_kz,Weighting factor for eddy diffusivity (mixing intensity),Unitless,0.5
piston_velocity,Gas transfer velocity/ velocity for air-water exchange,m s−1,1
Cd,Momentum coefficient of wind,Unitless,0.0013
hydro_res_time,Hydrologic residence time,yr,1.8
W_str,Wind-derived shear scaling term,Unitless,None
denThresh,Density threshold for mixing,kg m−3,1.00E-03
kd_light,Background light attenuation,m−1,0.6
light_water,Background light extinction,m−1,0.125
light_doc,DOC light extinction,m−1,0.02
light_poc,POC light extinction,m−1,0.7
eps,Surface emissivity (for outgoing longwave),Unitless,0.97
emissivity,Emissivity of water surface,Unitless,0.97
sigma,Stefan-Boltzmann constant,W m-2 K-4,5.67E-08
sw_factor,Multiplier for shortwave radiation,Unitless,1
wind_factor,Multiplier for wind speed,Unitless,0.9
at_factor,Multiplier for air temperature,Unitless,1
turb_factor,Multiplier for turbulent heat fluxes,Unitless,1
Hgeo,Geothermal heat flux,W m−2,0.1
resp_docr,Respiration rate of recalcitrant DOC,day−1,0.005
resp_docl,Respiration rate of labile DOC,day−1,0.1
resp_poc,Respiration rate of POC,day−1,0.15
resp_pocr,Respiration rate of POC,day−1,0.015
resp_pocl,Respiration rate of POC,day−1,0.15
sed_sink,Idealized nutrient source rate,g m−2 day−1,-0.0626
settling_rate_labile,Settling rate of POC,m day−1,0.07
settling_rate_refractory,Settling rate of POC,m day−1,0.7
sediment_rate,Sedimentation rate of POC,m day−1,0.1
theta_npp,Arrhenius temperature multiplier for net primary production,Unitless,1.1
theta_r,Arrhenius temperature multiplier for respiration,Unitless,1.1
conversion_constant,Conversion between energy and carbon,gC per unit energy,1.00E-04
k_half,Michaelis-Menten DO half saturation coefficient,g m−3,0.5
p_max,Maximum photosynthetic production rate,gC m-3 d-1,1
IP,Slope of light-productivity curve for NPP,gC day−1 (W m−2)−1,3.00E-05
prop_oc_docr,Proportion of OC load that is recalcitrant DOC,Unitless,0.5
prop_oc_docl,Proportion of OC load that is labile DOC,Unitless,0.05
prop_oc_pocr,Proportion of OC load that is recalcitrant POC,Unitless,0.4
prop_oc_pocl,Proportion of OC load that is labile POC,Unitless,0.05
p2,2nd parameter in productivity curve,,1
B,Light-use offset parameter,,0.61
g,Gravity,ms−2,9.81
meltP,Multiplier for ice melting,Unitless,1
d_thick, Thickness of diffusive boundary layers, m,0.001
f_sod,Steady sediment consumption of DO, g/m3/s,3.00E-05
LIGHTUSEBYPHOTOS, Light use, dimensionless,0.3
