datetime,oc,discharge
1989-01-01,10.5,48384.000205993674
1989-01-02,10.5,47088.00144195561
1989-01-03,10.5,46569.597816467314
1989-01-04,10.5,44063.999176025405
1989-01-05,10.5,43027.19964981078
1989-01-06,10.5,42163.20047378537
1989-01-07,10.5,41904.00123596194
1989-01-08,10.5,41471.99907302857
1989-01-09,10.5,41039.99948501591
1989-01-10,10.5,40176.00030899051
1989-01-11,10.5,39660.36472320561
1989-01-12,10.5,38447.99938201908
1989-01-13,10.5,37584.000205993674
1989-01-14,10.5,37152.00061798092
1989-01-15,10.5,36979.20026779179
1989-01-16,10.5,40607.99989700316
1989-01-17,10.5,44927.99835205081
1989-01-18,10.5,45791.997528076216
1989-01-19,10.5,44927.99835205081
1989-01-20,10.5,41039.99948501591
1989-01-21,10.5,37411.19985580445
1989-01-22,10.5,35596.800041198716
1989-01-23,10.5,35510.40115356441
1989-01-24,10.5,33263.999176025405
1989-01-25,10.5,32745.60070037845
1989-01-26,10.5,31449.59936141967
1989-01-27,10.5,31017.59977340702
1989-01-28,10.5,30844.799423217795
1989-01-29,10.5,30067.199134826693
1989-01-30,10.5,29980.80024719239
1989-01-31,10.5,29980.80024719239
1989-02-01,10.5,29721.60100936886
1989-02-02,10.5,29116.80107116698
1989-02-03,10.5,28684.79890823361
1989-02-04,10.5,28771.20037078853
1989-02-05,10.5,29376.00030899051
1989-02-06,10.5,31104.001235961943
1989-02-07,10.5,33695.99876403806
1989-02-08,10.5,36287.9988670349
1989-02-09,10.5,35855.999279022246
1989-02-10,10.5,34992.00010299684
1989-02-11,10.5,33436.79952621463
1989-02-12,10.5,32831.99958801265
1989-02-13,10.5,31449.59936141967
1989-02-14,10.5,35164.800453186064
1989-02-15,10.5,36806.39991760257
1989-02-16,10.5,42336.000823974595
1989-02-17,10.5,51840.00205993654
1989-02-18,10.5,63072.00164794919
1989-02-19,10.5,60479.99897003174
1989-02-20,10.5,60047.99938201907
1989-02-21,10.5,67391.99752807622
1989-02-22,10.5,73440.00205993654
1989-02-23,10.5,79488.00144195561
1989-02-24,10.5,78624.0022659302
1989-02-25,10.5,77759.99794006346
1989-02-26,10.5,79920.00102996826
1989-02-27,10.5,83808.00247192378
1989-02-28,10.5,82079.99897003174
1989-03-01,10.5,80352.00061798093
1989-03-02,10.5,78624.0022659302
1989-03-03,10.5,77759.99794006346
1989-03-04,10.5,70847.99938201907
1989-03-05,10.5,65318.39847564696
1989-03-06,10.5,56937.59822845457
1989-03-07,10.5,49247.99938201907
1989-03-08,10.5,48656.159019470244
1989-03-09,10.5,44063.999176025405
1989-03-10,10.5,42768.00041198735
1989-03-11,10.5,42163.20047378537
1989-03-12,10.5,41904.00123596194
1989-03-13,10.5,41471.99907302857
1989-03-14,10.5,42336.000823974595
1989-03-15,10.5,46656.00185394286
1989-03-16,10.5,51840.00205993654
1989-03-17,10.5,57024.002265930205
1989-03-18,10.5,61343.99814605714
1989-03-19,10.5,64800.0
1989-03-20,10.5,63072.00164794919
1989-03-21,10.5,60479.99897003174
1989-03-22,10.5,54431.99958801265
1989-03-23,10.5,54000.0
1989-03-24,10.5,58752.00061798093
1989-03-25,10.5,69120.00102996826
1989-03-26,10.5,82079.99897003174
1989-03-27,10.5,95040.00205993668
1989-03-28,10.5,103680.00411987343
1989-03-29,10.5,99359.9979400633
1989-03-30,10.5,98692.4755096439
1989-03-31,10.5,95050.53863525405
1989-04-01,10.5,89200.83389282206
1989-04-02,10.5,83023.48594665527
1989-04-03,10.5,77042.18730926511
1989-04-04,10.5,71068.23234558103
1989-04-05,10.5,67265.51227569579
1989-04-06,10.5,61295.35789489743
1989-04-07,10.5,58710.26630401616
1989-04-08,10.5,55895.79048156734
1989-04-09,10.5,52846.81663513185
1989-04-10,10.5,50364.026641845674
1989-04-11,10.5,48780.836677551284
1989-04-12,10.5,47037.800788879395
1989-04-13,10.5,45408.64334106441
1989-04-14,10.5,43204.233169555635
1989-04-15,10.5,41424.04890060422
1989-04-16,10.5,39341.80841445924
1989-04-17,10.5,37361.086750030554
1989-04-18,10.5,35951.90477371217
1989-04-19,10.5,34419.08283233642
1989-04-20,10.5,34643.80903244017
1989-04-21,10.5,34870.0904846191
1989-04-22,10.5,33635.606575012185
1989-04-23,10.5,32024.50447082518
1989-04-24,10.5,30699.043464660655
1989-04-25,10.5,29728.512096405037
1989-04-26,10.5,30652.733516693093
1989-04-27,10.5,32537.634658813466
1989-04-28,10.5,32674.234199523893
1989-04-29,10.5,32507.654857635483
1989-04-30,10.5,32312.218379974358
1989-05-01,10.5,30914.870738983143
1989-05-02,10.5,30043.18027496335
1989-05-03,10.5,29138.48705291745
1989-05-04,10.5,27989.194393157966
1989-05-05,10.5,26685.15930175784
1989-05-06,10.5,25125.72555541991
1989-05-07,10.5,24147.850513458212
1989-05-08,10.5,23282.98616409298
1989-05-09,10.5,22684.752273559592
1989-05-10,10.5,21818.592739105257
1989-05-11,10.5,21149.856233596827
1989-05-12,10.5,21095.423698425293
1989-05-13,10.5,22419.33202743526
1989-05-14,10.5,21861.014556884777
1989-05-15,10.5,21186.403369903528
1989-05-16,10.5,20563.631772994973
1989-05-17,10.5,20095.51634788513
1989-05-18,10.5,19464.797258377053
1989-05-19,10.5,18959.184551239
1989-05-20,10.5,18514.655399322488
1989-05-21,10.5,17889.465951919556
1989-05-22,10.5,17289.504289627053
1989-05-23,10.5,16611.177492141695
1989-05-24,10.5,16109.625434875516
1989-05-25,10.5,15491.779661178574
1989-05-26,10.5,14905.900239944485
1989-05-27,10.5,14152.406358718856
1989-05-28,10.5,13646.27480506897
1989-05-29,10.5,12835.411691665679
1989-05-30,10.5,13358.649730682333
1989-05-31,10.5,15166.828536987341
1989-06-01,10.5,15418.857908248934
1989-06-02,10.5,15601.766109466524
1989-06-03,10.5,15574.550485610995
1989-06-04,10.5,15373.670625686651
1989-06-05,10.5,16142.889547348012
1989-06-06,10.5,17394.04864311218
1989-06-07,10.5,17665.948677062996
1989-06-08,10.5,17621.885347366293
1989-06-09,10.5,17459.797954559355
1989-06-10,10.5,18283.53567123409
1989-06-11,10.5,18067.79465675352
1989-06-12,10.5,17473.53644371031
1989-06-13,10.5,16996.694612503044
1989-06-14,10.5,16373.664236068733
1989-06-15,10.5,15794.005823135365
1989-06-16,10.5,15002.582073211697
1989-06-17,10.5,13784.342050552346
1989-06-18,10.5,13276.051425933842
1989-06-19,10.5,12602.47664451603
1989-06-20,10.5,11637.647438049302
1989-06-21,10.5,11100.758457183842
1989-06-22,10.5,10874.563264846829
1989-06-23,10.5,10280.56318759918
1989-06-24,10.5,9348.653054237357
1989-06-25,10.5,8687.952232360876
1989-06-26,10.5,8115.638136863711
1989-06-27,10.5,7961.932754516604
1989-06-28,10.5,7752.9309511184665
1989-06-29,10.5,7618.4061527252225
1989-06-30,10.5,7460.208177566532
1989-07-01,10.5,7293.628835678103
1989-07-02,10.5,7917.1774148941
1989-07-03,10.5,7928.409862518313
1989-07-04,10.5,7790.947079658512
1989-07-05,10.5,7570.713472366335
1989-07-06,10.5,7287.6672506332425
1989-07-07,10.5,7193.059515953067
1989-07-08,10.5,7044.019246101381
1989-07-09,10.5,6718.204879760739
1989-07-10,10.5,6260.284852981569
1989-07-11,10.5,5615.049648284907
1989-07-12,10.5,5439.052534103395
1989-07-13,10.5,5685.465359687809
1989-07-14,10.5,5692.204570770267
1989-07-15,10.5,5350.752067565914
1989-07-16,10.5,4901.817548274989
1989-07-17,10.5,4489.343905448912
1989-07-18,10.5,4527.360033988956
1989-07-19,10.5,4271.616017818454
1989-07-20,10.5,3860.179102420808
1989-07-21,10.5,3767.9905056953403
